"id","city_id","first_name","last_name","birth_date","job_sector","education","employment_status","income","personality"
"0000013a-0dc5-4a75-838a-faebf8086ae3","564911fc-8df0-4d6c-8ba1-a43f5eeee975","Vladimíra","Křížová","1995-07-27","Education","Masters","Employed",NULL,"Determined"
"0000029e-4ae9-43b9-ba43-8462f166b181","39451d17-0e92-4637-b214-80fb0b98ae91","Tamás","Molnár","1949-10-12","Meteorology","High School","Employed",NULL,"Progressive"
"0000029f-5de0-425f-a5ef-7cfbac4087c4","ff9dd4a2-1bff-4d25-a32c-c8169f465ad1","Тарас","Наумов","1977-04-09","Government","High School","Unemployed",NULL,"Calm"
"000003c9-8743-4247-8c02-4d861c703e20","5cd0d37d-4bb8-430c-9519-d86688e72fa9","Jesse","Wu","1989-11-25","Transportation","High School","Unemployed",NULL,"Reserved"
"00000bf3-328e-41d8-b440-af53a4a1c771","70e17f20-af5b-4e74-bc52-19f46e6667fe","Rachel","Simpson","1972-08-23","Food Production","Doctorate","Employed",NULL,"Traditional"
"00000d5a-2ce5-4a3e-8dc2-24be34a97c92","24776c13-ebdc-4d1a-b428-71711e550419","Heidi","Sanchez","1943-07-08","Government","High School","Unemployed",NULL,"Adventurous"
"0000123a-675a-4142-baf7-0da074d11ffa","c7dcd34b-410b-4eea-8311-1331980d9efd","Michael","Acosta","1986-05-28","Government","High School","Employed",NULL,"Disciplined"
"00001289-21c7-4620-bc4e-1bfe6d1651f8","3a552496-4ade-40f0-8238-9408ebc9263c","Lorraine","Bailly","1961-07-11","Ice Mining","Masters","Employed",NULL,"Resourceful"
"00001295-365f-461f-93ea-84ddd2ca2434","7e36e06f-6a65-495e-8362-251c1502df6c","John","Phillips","1942-11-02","Transportation","Bachelors","Employed",NULL,"Traditional"
"000012a7-1d1e-45ed-8d37-fb45789274f9","02d62390-db72-4eec-b7f7-3b5b53f09f43","Raúl","Olivares","1939-08-30","Fisheries","Masters","Unemployed",NULL,"Innovative"
"00001853-69ad-43ac-aa62-677dd67f2425","18f7ab77-7708-4beb-93a2-bd9750748433","Margareta","Ericsson","1943-04-23","Ice Mining","Bachelors","Employed",NULL,"Resilient"
"00001880-ef7e-4b54-b52e-1d96bf98dfc9","831f212d-daac-422d-a02f-15ff602f087c","Ruth","White","2005-04-06","Food Production","High School","Employed",NULL,"Energetic"
"00001c0d-0f0e-4669-9646-8d04b390fdc9","bba534ec-b954-4c95-90d6-ec5c60938527","Alexandre","Ferreira","1941-12-22","Ice Mining","Masters","Employed",NULL,"Outgoing"
"00001eed-ced4-4818-bc87-e8267713d0f7","c79edc0a-896c-4cae-a8e4-78a494bb4a19","Anders","Paulsen","1967-01-09","Retail","High School","Employed",NULL,"Energetic"
